,分頁,項目,Code,繁中文案,簡中文案,英文文案,韓文文案,zh-TW.json,en-US.json,zh-CN.json,ko-KR.json
,,,app_name,Bincentive,Bincentive,Bincentive,Bincentive,"app_name: ""Bincentive"",","app_name: ""Bincentive"",","app_name: ""Bincentive"",","app_name: ""Bincentive"","
,,,g_b_signup,註冊,注册,Sign Up,회원 가입,"g_b_signup: ""註冊"",","g_b_signup: ""Sign Up"",","g_b_signup: ""注册"",","g_b_signup: ""회원 가입"","
,,,g_p_email,電子信箱,电子邮箱,Email Address,이메일 주소,"g_p_email: ""電子信箱"",","g_p_email: ""Email Address"",","g_p_email: ""电子邮箱"",","g_p_email: ""이메일 주소"","
,,,g_b_login,登入,登入,Log In,로그인,"g_b_login: ""登入"",","g_b_login: ""Log In"",","g_b_login: ""登入"",","g_b_login: ""로그인"","
,,,g_t_bcnt,BCNT,BCNT,BCNT,BCNT,"g_t_bcnt: ""BCNT"",","g_t_bcnt: ""BCNT"",","g_t_bcnt: ""BCNT"",","g_t_bcnt: ""BCNT"","
,,,g_t_required,*必填,*必填,*Required,필수 체크,"g_t_required: ""*必填"",","g_t_required: ""*Required"",","g_t_required: ""*必填"",","g_t_required: ""필수 체크"","
,,,g_date,日期,日期,Date,날짜,"g_date: ""日期"",","g_date: ""Date"",","g_date: ""日期"",","g_date: ""날짜"","
,,,g_t_search,搜尋,搜寻,Search,검색,"g_t_search: ""搜尋"",","g_t_search: ""Search"",","g_t_search: ""搜寻"",","g_t_search: ""검색"","
,,,g_please_select,請選擇,请选择,Please Select,선택하세요,"g_please_select: ""請選擇"",","g_please_select: ""Please Select"",","g_please_select: ""请选择"",","g_please_select: ""선택하세요"","
,,,g_select,選擇,选择,Select,,"g_select: ""選擇"",","g_select: ""Select"",","g_select: ""选择"",","g_select: """","
,,,g_submit,送出,送出,Submit,,"g_submit: ""送出"",","g_submit: ""Submit"",","g_submit: ""送出"",","g_submit: """","
,,,g_processing,審核中,审核中,Submitting,검토 중,"g_processing: ""審核中"",","g_processing: ""Submitting"",","g_processing: ""审核中"",","g_processing: ""검토 중"","
,,,g_copy,複製,複製,Copy,복제,"g_copy: ""複製"",","g_copy: ""Copy"",","g_copy: ""複製"",","g_copy: ""복제"","
,,,g_success,成功,成功,Success,성공,"g_success: ""成功"",","g_success: ""Success"",","g_success: ""成功"",","g_success: ""성공"","
,,,g_fail,失敗,失败,Fail,실패,"g_fail: ""失敗"",","g_fail: ""Fail"",","g_fail: ""失败"",","g_fail: ""실패"","
,,,g_modify,調整,调整,Modify,수정,"g_modify: ""調整"",","g_modify: ""Modify"",","g_modify: ""调整"",","g_modify: ""수정"","
